"","timestamp","est_time","est_distance","est_cost","est_transport","year_group","time","start_time","distance","cost","transport","origin","day"
"1",2022-11-21,30,3,3,"Bus / Coach","4",10,2022-11-21 12:45:00,0.6,0,"Walk","Eyre square","Monday"
"2",2022-11-21,15,20,5,"Bus / Coach","3",15,2022-11-21 13:40:00,2,0,"Walk","Galway","Monday"
"3",2022-11-21,30,10,0.8,"Car","3",25,2022-11-21 11:00:00,5,0.8,"Bus / Coach","Galway ","Monday"
"4",2022-11-21,15,10,3,"Walk","3",5,2022-11-21 02:50:00,5,0,"Car","Galway","Monday"
"5",2022-11-21,15,3,1.5,"Bus / Coach","3",20,2022-11-21 11:45:00,4.5,1.2,"Bus / Coach","Knocknacarra ","Monday"
"6",2022-11-21,20,10,6,"Bus / Coach","2",10,2022-11-21 11:00:00,10,2,"Bus / Coach","Galway","Monday"
"7",2022-11-21,30,4,2,"Bus / Coach","4",10,2022-11-21 12:55:00,1,0,"Walk","Galway, Galway ","Monday"
"8",2022-11-21,35,3.5,5,"Walk","3",25,2022-11-21 07:35:00,1,NA,"Walk","Galway (glean dara)","Monday"
"9",2022-11-21,30,2.5,3,"Walk","3",3,2022-11-21 08:50:00,0.19,0,"Walk","Galway","Monday"
"10",2022-11-21,40,15,6,"Bus / Coach","4",40,2022-11-21 07:30:00,18,5,"Bus / Coach","Rosscahill, Galway","Monday"
"11",2022-11-21,20,15,4,"Bus / Coach","4",20,2022-11-21 11:00:00,15,0,"Car","Furbo","Monday"
"12",2022-11-21,30,15,5,"Bus / Coach","4",20,2022-11-21 10:20:00,13,0,"Car","Moycullen, Galway","Monday"
"13",2022-11-21,15,3,2,"Walk","3",25,2022-11-21 14:30:00,4,0,"Walk","Galway","Monday"
"14",2022-11-22,20,5,6,"Walk","4",10,2022-11-22 08:50:00,0.5,0,"Walk","Galway","Tuesday"
"15",2022-11-22,40,5,5,"Bus / Coach","4",20,2022-11-22 09:40:00,1.6,0,"Walk","Galway","Tuesday"
"16",2022-11-22,20,5,5,"Walk","4",20,2022-11-22 11:00:00,1,0,"Walk","Galway","Tuesday"
"17",2022-11-22,40,10,5,"Bus / Coach","4",80,2022-11-22 07:50:00,10,0.8,"Bus / Coach","Oranmore, Galway","Tuesday"
"18",2022-11-22,30,4,2,"Bus / Coach","Master's",30,2022-11-22 09:00:00,5,3.6,"Bus / Coach","Knocknacarra Galway","Tuesday"
"19",2022-11-22,15,4,5,"Bus / Coach","4",25,2022-11-22 09:00:00,5,0.65,"Bus / Coach","East Galway","Tuesday"
"20",2022-11-22,15,3.5,3,"Walk","4",6,2022-11-22 12:30:00,0.5,0,"Walk","Newcastle, Galway","Tuesday"
"21",2022-11-22,20,18,10,"Walk","4",5,2022-11-22 10:40:00,1,0,"Walk","Galway","Tuesday"
"22",2022-11-22,30,NA,4.5,"Bus / Coach","3",3,2022-11-22 09:27:00,1,0,"Walk","Limerick ","Tuesday"
"23",2022-11-22,20,2,2.5,"Walk","3",15,2022-11-22 14:30:00,1.2,0,"Walk","galway","Tuesday"
"24",2022-11-22,20,1,0,"Walk","4",10,2022-11-22 10:00:00,0.1,NA,"Walk","Newcastle, Galway ","Tuesday"
"25",2022-11-22,15,3,2,"Walk","4",10,2022-11-22 10:15:00,2,0,"Walk","Galway","Tuesday"
"26",2022-11-22,40,40,7,"Bus / Coach","3",30,2022-11-22 08:30:00,15,2,"Bus / Coach","Galway ","Tuesday"
"27",2022-11-22,15,2,5,"Walk","2",15,2022-11-22 08:30:00,1.5,0,"Walk","Galway","Tuesday"
"28",2022-11-22,25,10,5,"Bus / Coach","3",8,2022-11-22 10:45:00,3,0,"Bike","Salthill galway ","Tuesday"
"29",2022-11-22,30,10,7,"Bus / Coach","3",15,2022-11-22 00:40:00,1.5,0,"Bike","Galway","Tuesday"
"30",2022-11-22,20,1.5,1,"Walk","4",5,2022-11-22 10:54:00,2.2,0,"Bike","Galway, Galway","Tuesday"
"31",2022-11-22,NA,NA,NA,"Walk","3",10,2022-11-22 09:00:00,1,0,"Walk","Galway","Tuesday"
"32",2022-11-22,37.5,5,10,"Bus / Coach","1",30,2022-11-22 07:30:00,NA,10,"Bus / Coach","Knocknacarra","Tuesday"
"33",2022-11-23,30,25,5,"Bike","3",15,2022-11-23 10:45:00,5,0,"Bike","Galway","Wednesday"
"34",2022-11-23,20,5,3,"Walk","3",30,2022-11-23 10:30:00,3,0.6,"Bus / Coach","Rahoon","Wednesday"
"35",2022-11-23,30,25,15,"Car","3",15,2022-11-23 10:00:00,5,0,"Walk","Galway ","Wednesday"
"36",2022-11-23,20,2,3,"Walk","2",15,2022-11-23 10:45:00,1,NA,"Walk","Galway Headford road ","Wednesday"
"37",2022-11-23,60,20,10,"Car","4",40,2022-11-23 10:00:00,6.3,10,"Car","Knocknacarra","Wednesday"
"38",2022-11-23,30,3,5,"Walk","4",20,2022-11-23 10:15:00,2,3,"Car","Renmore","Wednesday"
"39",2022-11-23,15,7,5,"Car","4",20,2022-11-23 10:30:00,15,0,"Car","Galway","Wednesday"
"40",2022-11-23,10,80,25,"Walk","4",80,2022-11-23 08:00:00,90,20,"Car","Athlone","Wednesday"
"41",2022-11-23,20,10,5,"Walk","3",15,2022-11-23 10:30:00,1.5,0,"Walk","Galway","Wednesday"
"42",2022-11-23,40,10,5,"Walk","3",10,2022-11-23 11:40:00,0.8,0.65,"Bus / Coach","Galway city","Wednesday"
"43",2022-11-23,60,20,10,"Walk","3",25,2022-11-23 12:40:00,3,NA,"Walk","Galway","Wednesday"
"44",2022-11-23,60,75,12.5,"Car","4",40,2022-11-23 11:30:00,40,NA,"Car","Craughwell Galway ","Wednesday"
"45",2022-11-23,30,5,5,"Bus / Coach","3",10,2022-11-23 13:15:00,1.5,0.65,"Bus / Coach","Galway","Wednesday"
"46",2022-11-23,49,5,4,"Bus / Coach","3",4,2022-11-23 13:45:00,0.1,0,"Walk","Newcastle galway","Wednesday"
"47",2022-11-23,50,15,4,"Bus / Coach","4",60,2022-11-23 08:30:00,11.5,NA,"Bus / Coach","Furbo","Wednesday"
"48",2022-11-23,20,3,6,"Walk","Higher Diploma",15,2022-11-23 08:30:00,1.3,0,"Walk","Galway City","Wednesday"
"49",2022-11-23,90,40,10,"Bus / Coach","4",60,2022-11-23 07:00:00,24,5,"Car","Galway ","Wednesday"
"50",2022-11-23,8.5,7,6,"Bus / Coach","3",12,2022-11-23 10:10:00,2.1,NA,"Car","Bohermore, Galway ","Wednesday"
"51",2022-11-23,17.5,7,5,"Walk","4",35,2022-11-23 10:30:00,2,2,"Bus / Coach","Galway","Wednesday"
"52",2022-11-23,25,2,5,"Walk","3",140,2022-11-23 07:05:00,97,NA,"Train","Athlone, Westmeath","Wednesday"
"53",2022-11-23,25,10,5,"Car","4",10,2022-11-23 09:02:00,3.6,2,"Car","Galway","Wednesday"
"54",2022-11-23,45,35,10,"Bus / Coach","4",60,2022-11-23 08:05:00,35,0,"Train","Athenry","Wednesday"
"55",2022-11-23,60,45,10,"Bus / Coach","Higher Diploma",20,2022-11-23 13:30:00,1.5,0,"Walk","Galway","Wednesday"
"56",2022-11-23,180,70,12,"Bus / Coach","3",95,2022-11-23 08:30:00,35,12,"Bus / Coach","Tuam","Wednesday"
"57",2022-11-23,30,5,3,"Walk","3",15,2022-11-23 11:15:00,1.5,0,"Walk","Galway","Wednesday"
"58",2022-11-23,30,5,5,"Bus / Coach","3",10,2022-11-23 11:00:00,1.3,0.6,"Bus / Coach","Galway city centre","Wednesday"
"59",2022-11-23,20,8,2,"Bus / Coach","4",15,2022-11-23 08:00:00,4.7,2,"Car","Galway","Wednesday"
"60",2022-11-24,30,7,5,"Bus / Coach","4",60,2022-11-24 12:25:00,20,1.2,"Bus / Coach","Athenry, Galway","Thursday"
"61",2022-11-24,20,2,1,"Walk","4",5,2022-11-24 10:50:00,1,0,"Walk","Galway","Thursday"
"62",2022-11-24,25,10,10,"Bus / Coach","3",10,2022-11-24 09:43:00,3,1.3,"Bus / Coach","Rahoon Galway ","Thursday"
"63",2022-11-24,180,60,15,"Bus / Coach","4",20,2022-11-24 09:45:00,3.2,0,"Car","Galway city","Thursday"
"64",2022-11-24,30,20,2,"Walk","2",15,2022-11-24 10:35:00,4,0,"Bike","Knocknacara ","Thursday"
"65",2022-11-24,45,20,10,"Bus / Coach","2",25,2022-11-24 08:30:00,2,4,"Bus / Coach","salthill","Thursday"
"66",2022-11-24,45,4.2,6,"Bus / Coach","Master's",30,2022-11-24 10:05:00,4,1.3,"Bus / Coach","Galway","Thursday"
"67",2022-11-24,75,45,2,"Bus / Coach","4",14,2022-11-24 09:45:00,1.6,0,"Walk","Galway City ","Thursday"
