Timestamp,How long do you think it takes students on average to travel to university (in minutes)?,How far do you think students travel on average to university (in kilometres)? ,How much money do you think students spend on average on commuting to university each day (in euros)?,What do you think is the most popular mode of transport for students commuting to college?,What year of university are you in?,How long did it take you to travel to university today (in minutes)?,What time did you begin your commute today?,How far did you travel to university today (in kilometres)?,How much money did you spend to travel to university today (in euros)?,What mode of transport did you use to travel to university today?,"What town/city and county did you travel from today? E.g. Athenry, Galway"
2022/11/21 3:50:11 PM GMT,30,3,3,Bus / Coach,4,10,12:45,0.6,0,Walk,Eyre square
2022/11/21 4:33:45 PM GMT,15,20,5,Bus / Coach,3,15,13:40,2,0,Walk,Galway
2022/11/21 5:41:15 PM GMT,30,10,80 cents (leap card),Car,3,25,11:00,5,.80 cents ,Bus / Coach,Galway 
2022/11/21 5:41:37 PM GMT,15 Minutes ,10 Km,€3,Walk,3,5 Minutes ,02:50,5 Km,None,Car,Galway
2022/11/21 5:44:51 PM GMT,15,3,1.5,Bus / Coach,3,20,11:45,4.5,1.2,Bus / Coach,Knocknacarra 
2022/11/21 5:56:24 PM GMT,20 mins ,10km,6,Bus / Coach,2,10,11:00,10km,2,Bus / Coach,Galway
2022/11/21 6:02:55 PM GMT,30,4,2,Bus / Coach,4,10,12:55,1,0,Walk,"Galway, Galway "
2022/11/21 7:12:08 PM GMT,half an hour to 40 minutes,3 or 4km,5 euro,Walk,3,25 minutes,07:35,1km,0 euro i walked,Walk,Galway (glean dara)
2022/11/21 7:19:24 PM GMT,30,2.5,3,Walk,3,3,08:50,0.19,0,Walk,Galway
2022/11/21 7:36:54 PM GMT,40,15,6,Bus / Coach,4,40,07:30,18,5,Bus / Coach,"Rosscahill, Galway"
2022/11/21 7:43:03 PM GMT,20,15,4,Bus / Coach,4,20,11:00,15,0,Car,Furbo
2022/11/21 8:34:49 PM GMT,30,15,5,Bus / Coach,4,20,10:20,13,0,Car,"Moycullen, Galway"
2022/11/21 8:47:32 PM GMT,15,3,2,Walk,3,25,14:30,4,0,Walk,Galway
2022/11/22 10:29:07 AM GMT,20,5,6,Walk,4,10,08:50,0.5,0,Walk,Galway
2022/11/22 10:29:30 AM GMT,40,5,5,Bus / Coach,4,20,09:40,1.6,0,Walk,Galway
2022/11/22 10:58:28 AM GMT,20,5km,5,Walk,4,20,11:00,1,0,Walk,Galway
2022/11/22 11:21:45 AM GMT,40,10,5,Bus / Coach,4,80,07:50,10,0.8,Bus / Coach,"Oranmore, Galway"
2022/11/22 12:14:15 PM GMT,30,4,2,Bus / Coach,Master's,30,09:00,5,3.6,Bus / Coach,Knocknacarra Galway
2022/11/22 12:45:39 PM GMT,15,4,5,Bus / Coach,4,25,09:00,5,0.65,Bus / Coach,East Galway
2022/11/22 12:59:42 PM GMT,15,3.5,3,Walk,4,6,12:30,0.5,0,Walk,"Newcastle, Galway"
2022/11/22 2:14:23 PM GMT,20,18km,€10,Walk,4,5,10:40,1,0,Walk,Galway
2022/11/22 3:04:31 PM GMT,30mins,05-Oct,€4-5,Bus / Coach,3,3,09:27,<1km,0,Walk,Limerick 
2022/11/22 3:16:42 PM GMT,20,2,2.5,Walk,3,15,14:30,1.2,0,Walk,galway
2022/11/22 3:39:22 PM GMT,20,1,€0,Walk,4,10,10:00,0.1,€0,Walk,"Newcastle, Galway "
2022/11/22 3:41:45 PM GMT,15,3,2,Walk,4,10,10:15,2,0,Walk,Galway
2022/11/22 3:44:42 PM GMT,40,40,7,Bus / Coach,3,30mins,08:30,15,2,Bus / Coach,Galway 
