,timestamp,est_time,est_distance,est_cost,est_transport,year_group,time,start_time,distance,cost,transport,origin,day,temp_celcius,precipitation_mm,perc_humidity,wind_kmh,weather
1,21/11/2022,30,3,3,Bus / Coach,4,10,21/11/2022 12:45,0.6,0,Walk,"Eyre square, Galway",Monday,9,7,0.76,36,Light
2,21/11/2022,15,20,5,Bus / Coach,3,15,21/11/2022 13:40,2,0,Walk,"Galway, Galway",Monday,9,7,0.72,36,Light
3,21/11/2022,30,10,0.8,Car,3,25,21/11/2022 11:00,5,0.8,Bus / Coach,"Galway, Galway",Monday,8,7,0.76,36,Moderate
4,21/11/2022,15,10,3,Walk,3,5,21/11/2022 02:50,5,0,Car,"Galway, Galway",Monday,9,7,0.72,36,Light
5,21/11/2022,15,3,1.5,Bus / Coach,3,20,21/11/2022 11:45,4.5,1.2,Bus / Coach,"Knocknacarra, Galway",Monday,8,7,0.76,50.4,Moderate
6,21/11/2022,20,10,6,Bus / Coach,2,10,21/11/2022 11:00,10,2,Bus / Coach,"Galway, Galway",Monday,9,7,0.76,50.4,Moderate
7,21/11/2022,30,4,2,Bus / Coach,4,10,21/11/2022 12:55,1,0,Walk,"Galway, Galway ",Monday,9,7,0.72,36,Light
8,21/11/2022,35,3.5,5,Walk,3,25,21/11/2022 07:35,1,NA,Walk,"Glenn dara, Galway",Monday,8,7,0.76,50.4,Moderate
9,21/11/2022,30,2.5,3,Walk,3,3,21/11/2022 08:50,0.19,0,Walk,"Galway, Galway",Monday,8,7,0.76,50.4,Moderate
10,21/11/2022,40,15,6,Bus / Coach,4,40,21/11/2022 07:30,18,5,Bus / Coach,"Rosscahill, Galway",Monday,8,7,0.76,50.4,Moderate
11,21/11/2022,20,15,4,Bus / Coach,4,20,21/11/2022 11:00,15,0,Car,"Furbo, Galway",Monday,8,7,0.76,50.4,Moderate
12,21/11/2022,30,15,5,Bus / Coach,4,20,21/11/2022 10:20,13,0,Car,"Moycullen, Galway",Monday,8,7,0.76,50.4,Moderate
13,21/11/2022,15,3,2,Walk,3,25,21/11/2022 14:30,4,0,Walk,"Galway, Galway",Monday,9,7,0.72,36,Light
14,22/11/2022,20,5,6,Walk,4,10,22/11/2022 08:50,0.5,0,Walk,"Galway, Galway",Tuesday,4,9.1,0.96,6.8,Light
